Airline,Percent Leisure Travelers, Average Business Fare , Average Leisure Fare ,Utilization,How advertised,Gate fees charged to each passenger,Gallons of Fuel Used,Origin City,Destination City,Domestic Flight
SC Airlines,57.3%, $522.13 , $347.85 ,69.7%,None,$22.63,6938,TPA,SEA,TRUE
SC Airlines,72.0%, $855.34 , $282.11 ,75.1%,None,$18.01,6411,JFK,BNA,TRUE
Columbia,97.0%, $849.37 , $250.38 ,78.8%,Billboard,$0.00,6032,IAH,DCA,TRUE
SC Airlines,81.9%, $983.58 , $414.38 ,70.1%,Billboard,$17.90,6647,LAS,MSP,TRUE
Columbia,73.4%," $1,206.86 ", $361.80 ,85.4%,Billboard,$0.00,7591,SAN,IAD,TRUE
SC Airlines,62.3%, $683.30 , $320.24 ,65.6%,Billboard,$20.99,6439,SEA,DTW,TRUE
SC Airlines,72.8%," $1,515.78 ", $776.72 ,90.4%,Television,$17.73,13022,MSP,SYD,FALSE
Columbia,80.6%, $591.45 , $223.85 ,77.9%,None,$0.00,6053,DFW,SAN,TRUE
SC Airlines,75.1%, $879.72 , $288.64 ,67.2%,None,$18.29,6522,ATL,LAS,TRUE
SC Airlines,73.3%, $744.41 , $507.68 ,90.0%,Billboard,$17.45,7548,ATL,PEK,TRUE
SC Airlines,54.2%," $1,155.66 ", $326.04 ,71.8%,Billboard,$23.48,6852,DTW,MSP,TRUE
Columbia,84.2%, $820.93 , $423.49 ,94.1%,Billboard,$0.00,7118,SFO,JFK,TRUE
SC Airlines,46.3%, $697.33 , $573.06 ,92.1%,Billboard,$20.44,7761,PEK,ATL,TRUE
SC Airlines,58.4%," $1,113.16 ", $386.45 ,70.8%,Billboard,$15.60,6959,DTW,ATL,TRUE
SC Airlines,55.6%, $793.58 , $210.83 ,59.0%,None,$22.44,6307,ATL,PHL,TRUE
Columbia,78.5%," $1,018.10 ", $296.99 ,72.7%,Billboard,$0.00,6206,ATL,IAH,TRUE
Columbia,90.7%, $570.56 , $289.29 ,89.0%,None,$0.00,7160,BOS,MCO,TRUE
Columbia,70.1%, $738.10 , $201.03 ,73.9%,None,$0.00,6802,ORD,DFW,TRUE
SC Airlines,75.2%, $974.87 , $375.40 ,63.1%,Billboard,$22.25,6061,FLL,DFW,TRUE
SC Airlines,53.3%, $772.51 , $253.69 ,71.1%,None,$19.17,7823,ATL,SAN,TRUE
SC Airlines,59.7%," $1,131.31 ", $349.97 ,63.5%,Billboard,$16.23,6736,MSP,SLC,TRUE
SC Airlines,65.6%, $841.07 , $347.61 ,65.4%,None,$20.95,7321,MSP,DTW,TRUE
Columbia,70.5%," $1,261.73 ", $331.20 ,85.1%,Billboard,$0.00,6491,BOS,TPA,TRUE
SC Airlines,64.0%, $805.60 , $347.30 ,68.5%,None,$21.97,7505,MSP,DTW,TRUE
SC Airlines,55.1%, $746.38 , $296.36 ,72.6%,None,$22.14,7028,DTW,BOS,TRUE
SC Airlines,61.3%, $668.18 , $379.13 ,68.9%,Billboard,$23.58,6635,DEN,DTW,TRUE
Columbia,82.2%, $485.79 , $236.34 ,74.8%,None,$0.00,6830,DFW,DTW,TRUE
SC Airlines,50.7%, $922.18 , $279.96 ,62.2%,Billboard,$20.48,7369,ORD,DFW,TRUE
Columbia,88.5%, $445.07 , $278.71 ,71.0%,None,$0.00,6780,FLL,FLL,TRUE
SC Airlines,65.2%, $817.14 , $335.25 ,59.5%,Billboard,$17.19,7114,SLC,ORD,TRUE
Columbia,74.7%, $567.58 , $236.08 ,75.3%,None,$0.00,6896,DTW,SLC,TRUE
Columbia,80.3%, $462.59 , $268.27 ,75.3%,None,$0.00,7636,MSP,DFW,TRUE
SC Airlines,64.7%, $465.19 , $396.70 ,62.5%,Billboard,$17.53,7333,MIA,MSP,TRUE
SC Airlines,59.2%, $696.91 , $315.77 ,61.4%,None,$24.44,7746,MIA,DEN,TRUE
Columbia,89.6%, $601.38 , $335.66 ,78.0%,None,$0.00,7869,DEN,ORD,TRUE
Columbia,81.2%, $923.94 , $331.11 ,85.9%,Billboard,$0.00,7961,MSP,LAX,TRUE
SC Airlines,72.7%, $908.80 , $374.82 ,70.0%,None,$22.56,6957,IAD,AUS,TRUE
Columbia,90.4%," $1,108.49 ", $305.02 ,77.4%,Billboard,$0.00,7441,IAH,SFO,TRUE
SC Airlines,56.0%, $691.09 , $406.85 ,68.0%,Billboard,$16.74,6968,MSP,ATL,TRUE
SC Airlines,51.1%, $855.79 , $350.68 ,98.0%,Billboard,$19.49,7946,BOS,CGK,TRUE
SC Airlines,54.2%," $2,123.30 ", $541.24 ,71.9%,Television,$16.33,15750,DTW,MSP,FALSE
Columbia,84.9%, $843.86 , $294.37 ,85.4%,None,$0.00,6127,LAX,LAS,TRUE
