SC_Profit,Columbia_Profit
" $1,472.15 ", $(604.62)
" $1,660.05 ", $555.06 
 $364.08 , $919.74 
 $50.02 , $379.94 
 $369.07 , $(134.48)
" $1,463.54 "," $1,122.47 "
" $1,117.88 "," $1,069.86 "
" $1,086.05 ", $609.59 
" $1,497.06 ", $839.83 
 $986.92 , $846.01 
" $1,385.19 ", $964.04 
 $202.69 , $923.33 
" $1,762.89 "," $1,134.02 "
 $661.73 , $71.31 
" $1,692.67 ", $(266.89)
" $1,754.69 "," $1,287.95 "
" $1,809.60 "," $1,410.31 "
 $242.11 , $(126.24)
 $406.04 , $883.96 
 $45.84 , $960.01 
 $(135.06), $(11.52)
" $1,445.99 ", $583.50 
" $1,822.24 ", $60.82 
 $357.16 , $5.74 
" $1,478.52 ", $241.88 
 $500.26 , $12.47 
" $1,859.15 ", $7.32 
" $1,000.52 ", $(38.57)
" $2,909.49 "," $1,354.67 "
" $3,475.45 ", $17.26 
" $1,631.74 ", $584.84 
" $(1,533.22)", $(245.74)
" $1,512.58 ", $(431.84)
" $1,784.14 "," $1,509.87 "
 $(945.01)," $1,076.65 "
 $(36.08), $547.87 
 $118.50 ," $1,199.91 "
" $1,247.30 ", $66.47 
" $2,895.13 ", $(224.22)
" $1,633.10 ", $910.08 
" $1,908.86 "," $1,122.32 "
" $1,160.63 ", $972.25 
 $560.07 , $(360.93)
 $914.51 , $(144.64)
 $543.84 ," $1,243.86 "
 $840.85 , $(347.31)
 $262.61 , $(150.41)
 $279.60 ," $1,053.58 "
 $(474.75), $115.37 
 $699.85 , $47.66 
" $1,519.92 ", $159.19 
 $975.65 ," $1,702.13 "
" $1,058.07 ", $(426.59)
" $1,675.76 ", $524.02 
 $472.76 , $763.43 
 $861.35 , $929.27 
" $1,341.35 ", $975.74 
" $3,105.14 "," $1,145.11 "
 $439.36 ," $1,483.19 "
 $481.79 ," $1,393.46 "
 $971.73 , $(104.74)
" $(1,524.38)"," $1,213.89 "
" $1,291.59 ", $(542.17)
" $1,053.39 ", $949.77 
" $1,978.07 ", $564.05 
" $3,327.89 "," $1,360.67 "
" $1,217.87 "," $1,177.46 "
" $1,648.52 "," $1,621.94 "
" $1,126.15 ", $935.85 
